BAD_PRACTICE,CORRECTNESS,DODGY_CODE,EXPERIMENTAL,I18N,MALICIOUS_CODE,Multithreaded correctness,PERFORMANCE,SECURITY,Abstract Class,Abstract Generic Class,Abstract Method,Class,File,Generic Class,Method,Private Class,Private Method,Private Static Generic Method,Private Static Method,Protected Abstract Method,Protected Method,Protected Static Method,Public Abstract Class,Public Abstract Generic Class,Public Abstract Method,Public Class,Public Constructor,Public Generic Class,Public Method,Public Static Generic Method,Public Static Method,Static Method,priority,rank,buggy_length,Private Generic Method,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOu1ut,Coun1ath,Coun1athLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count,final_label
-0.629266801,-0.187977895,-0.700329965,-0.095332576,-0.275277432,-0.313880776,-0.188787309,2.621381657,-0.15193546,-0.019477235,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,72.61542536,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,-0.103600495,0,1.604634987,1.716161943,1.664844991,0.196884399,2.038595231,0.380572053,2.370669624,1.144742646,0.932536837,1.145653756,1.216245224,0.227073788,-0.173714506,0.269339812,-0.035079518,-0.047757489,0,-0.149853586,-0.003849302,-0.164406577,-0.06866437,-0.012092028,0.506991876,0.816223667,0.033000461,-0.120286536,-0.268268869,-0.133474931,-0.27993303,-0.060930088,-0.055246637,-0.114908015,-0.197492723,-0.347670567,-0.057865985,-0.291257193,-0.114184739,-0.099806817,-0.10968814,-0.102002441,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.645567706,0.731200251,0.80522869,0.435807528,-0.147939487,1.20131852,-0.074359296,-0.216531984,-0.512232719,-0.42768844,-0.319566217,-0.114157525,-0.108339867,-0.042184859,-0.255253228,-0.094428756,-0.555765218,-0.576372524,0
-0.629266801,-0.187977895,-0.700329965,-0.095332576,-0.275277432,-0.313880776,-0.188787309,2.621381657,-0.15193546,-0.019477235,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,72.61542536,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,-0.103600495,0,1.604634987,1.716161943,1.664844991,0.196884399,2.038595231,0.380572053,2.370669624,1.144742646,0.932536837,1.145653756,1.216245224,0.227073788,-0.173714506,0.269339812,-0.035079518,-0.047757489,0,-0.149853586,-0.003849302,-0.164406577,-0.06866437,-0.012092028,0.506991876,0.816223667,0.033000461,-0.120286536,-0.268268869,-0.133474931,-0.27993303,-0.060930088,-0.055246637,-0.114908015,-0.197492723,-0.347670567,-0.057865985,-0.291257193,-0.114184739,-0.099806817,-0.10968814,-0.102002441,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.645567706,0.731200251,0.80522869,0.435807528,-0.147939487,1.20131852,-0.074359296,-0.216531984,-0.512232719,-0.42768844,-0.319566217,-0.114157525,-0.108339867,-0.042184859,-0.255253228,-0.847226094,-0.555765218,-0.576372524,0
-0.629266801,-0.187977895,-0.700329965,-0.095332576,-0.275277432,-0.313880776,-0.188787309,2.621381657,-0.15193546,-0.019477235,-0.033748365,-0.167840362,-0.134344523,13.33340395,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,-0.031926862,0,0.889444847,0.954322114,0.928883172,0.196884399,1.10560962,0.062710463,1.122286707,0.862596057,-0.5692034,-0.415229196,-0.410323979,-0.240733696,16.79240221,1.464793774,-0.035079518,60.84461549,0,4.708719029,0.294150235,0.30953728,0.330786926,-0.296647937,6.762715826,0.028742899,0.033000461,-0.033951317,-0.268268869,0.022255432,-0.159029361,-0.079151416,-0.055246637,-0.092166163,0.123350497,-0.347670567,-0.057865985,-0.291257193,-0.053251551,-0.0174383,0.083163699,-0.102002441,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.432352684,0.492483477,0.403090902,1.322982633,-0.147939487,-0.642078011,0.624697619,-0.216531984,-0.543016062,-0.469426209,-0.154648722,0.082525624,0.092258525,0.140973902,0.250922327,-0.763581946,-0.789211988,-0.620369226,0
-0.629266801,-0.187977895,-0.700329965,-0.095332576,-0.275277432,-0.313880776,-0.188787309,2.621381657,-0.15193546,-0.019477235,-0.033748365,-0.167840362,-0.134344523,13.33340395,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,-0.031926862,0,0.889444847,0.954322114,0.928883172,0.196884399,1.10560962,0.062710463,1.122286707,0.862596057,-0.5692034,-0.415229196,-0.410323979,-0.240733696,16.79240221,1.464793774,-0.035079518,60.84461549,0,4.708719029,0.294150235,0.30953728,0.330786926,-0.296647937,6.762715826,0.028742899,0.033000461,-0.033951317,-0.268268869,0.022255432,-0.159029361,-0.079151416,-0.055246637,-0.092166163,0.123350497,-0.347670567,-0.057865985,-0.291257193,-0.053251551,-0.0174383,0.083163699,-0.102002441,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.432352684,0.492483477,0.403090902,1.322982633,-0.147939487,-0.642078011,0.624697619,-0.216531984,-0.543016062,-0.469426209,-0.154648722,0.082525624,0.092258525,0.140973902,0.250922327,-0.763581946,-0.789211988,-0.620369226,0
-0.629266801,-0.187977895,1.427898347,-0.095332576,-0.275277432,-0.313880776,-0.188787309,-0.381478217,-0.15193546,51.34199061,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,0.027801166,0,0.889444847,0.954322114,0.928883172,0.196884399,0.522493613,0.062710463,0.230584623,1.144742646,1.683406955,-0.220118827,-0.207002828,1.162688757,-0.173714506,0.269339812,0.03219662,-0.047757489,0,-0.149853586,-0.078349186,0.072565352,-0.135239586,-0.012092028,1.400666726,0.028742899,0.788073904,-0.292956975,-0.268268869,-0.303896838,-0.328294498,-0.388914007,-0.327774075,-0.421923017,-0.21007481,-0.347670567,-0.057865985,-0.291257193,-0.41885068,-0.377800559,-0.326646457,-0.407633087,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.00592264,0.015049929,0.000953114,0.435807528,-0.147939487,1.815784031,-0.773416212,-0.216531984,0.503617586,0.949657942,0.040073141,-0.350177303,-0.349057938,-0.335238877,-0.318525172,-0.847226094,-0.815150518,-0.639224955,0
-0.629266801,-0.187977895,1.427898347,-0.095332576,-0.275277432,-0.313880776,-0.188787309,-0.381478217,-0.15193546,51.34199061,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,0.105447602,0,0.889444847,0.954322114,0.928883172,0.196884399,0.639116814,0.062710463,0.230584623,1.144742646,1.683406955,-0.025008458,-0.003681678,1.162688757,-0.173714506,0.269339812,0.03219662,-0.047757489,0,-0.149853586,0.070650582,0.072565352,-0.002089154,-0.077758776,0.506991876,0.028742899,0.410537182,0.052383903,-0.268268869,-0.239254046,-0.27993303,-0.328176244,-0.288841583,-0.376439313,-0.147164375,-0.347670567,-0.057865985,-0.291257193,-0.357917492,-0.305728108,-0.278433498,-0.322735685,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.219137662,0.253766703,0.202022008,0.435807528,-0.147939487,1.20131852,-0.074359296,-0.216531984,-0.512232719,-0.42768844,-0.073183453,-0.232167414,-0.228698903,-0.22534362,-0.191981283,-0.847226094,-0.815150518,-0.639224955,0
-0.629266801,-0.187977895,1.427898347,-0.095332576,-0.275277432,-0.313880776,-0.188787309,-0.381478217,-0.15193546,51.34199061,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,0.18906684,0,0.889444847,0.954322114,0.928883172,0.196884399,0.522493613,0.062710463,0.230584623,0.862596057,1.683406955,-0.025008458,-0.003681678,1.162688757,-0.173714506,0.269339812,0.03219662,-0.047757489,0,-0.149853586,0.219650351,0.072565352,0.131061278,0.009796888,0.506991876,0.028742899,0.410537182,0.225054341,-0.268268869,-0.201056032,-0.231571562,-0.291733586,-0.249909092,-0.353697461,-0.115709157,-0.347670567,-0.057865985,-0.291257193,-0.327450898,-0.26454385,-0.230220538,-0.288776725,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.219137662,0.253766703,0.202022008,0.435807528,-0.147939487,1.20131852,-0.074359296,-0.216531984,-0.512232719,-0.42768844,-0.108948693,-0.153494154,-0.148459546,-0.152080116,-0.065437395,-0.847226094,-0.815150518,-0.639224955,0
-0.629266801,-0.187977895,1.427898347,-0.095332576,-0.275277432,-0.313880776,-0.188787309,-0.381478217,-0.15193546,51.34199061,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,-0.674757744,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,0.320468501,0,0.889444847,0.954322114,0.928883172,0.196884399,0.872363217,0.062710463,0.765605873,1.144742646,1.683406955,0.560322649,0.606281773,1.162688757,-0.173714506,0.269339812,0.03219662,-0.047757489,0,-0.149853586,0.219650351,0.072565352,0.131061278,0.1630193,0.506991876,0.028742899,1.165610625,0.052383903,-0.268268869,0.12215793,0.082777979,0.048397885,0.158882064,-0.080795237,0.142223627,-0.347670567,-0.057865985,-0.291257193,0.007681637,0.137002668,0.276015537,0.016853921,-0.559554463,-0.681196595,-0.491524344,-0.69718357,-0.189417355,0.858782728,0.969917024,0.80522869,0.435807528,-0.147939487,1.815784031,1.323754534,-0.216531984,1.51946789,2.327004323,-0.210283539,-0.035484265,-0.02810051,-0.042184859,-0.128709339,-0.847226094,-0.815150518,-0.639224955,0
-0.629266801,-0.187977895,-0.700329965,-0.095332576,3.632698814,-0.313880776,-0.188787309,-0.381478217,-0.15193546,-0.019477235,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,1.482013373,-0.054291884,-0.243410857,-0.085753387,0.737369551,0.728180578,-0.139437311,0,-0.540935432,-0.569357544,-0.543040466,-0.277472988,-0.5271152,-0.255151126,-0.482777044,-0.548136889,-0.5692034,-0.415229196,-0.410323979,-0.240733696,-0.173714506,-0.328387169,-0.102355656,-0.047757489,0,-0.149853586,-0.376348723,-0.401378505,-0.40154045,-0.296647937,-0.386682975,-0.364997485,-0.344536261,-0.379292194,0.148747139,0.280826602,-0.352475232,0.886579012,-0.288841583,1.613472734,-0.084253939,0.895160568,0.081431473,0.098205726,0.860746271,0.826838992,-0.278433498,1.54500715,12.77383222,8.879695067,15.18581625,15.43884655,21.6231902,-0.420507405,-0.462383618,-0.401184674,-0.451367577,23.10750792,-0.642078011,2.721868365,15.12188604,-0.543016062,-0.469426209,-0.365266246,2.167366995,1.01501113,2.888355316,1.895992878,-0.847226094,-0.477949629,-0.557516795,0
-0.629266801,-0.187977895,1.427898347,-0.095332576,-0.275277432,-0.313880776,-0.188787309,-0.381478217,-0.15193546,-0.019477235,-0.033748365,-0.167840362,-0.134344523,-0.074999603,-0.064721561,-0.130264201,-0.013771179,-0.324519329,-0.032310067,-0.119292788,-0.093286144,-0.293773349,-0.044663971,-0.142178483,-0.047754599,-0.282386333,-0.495314528,-0.137956434,-0.192260801,1.482013373,-0.054291884,-0.243410857,-0.085753387,-0.81075426,0.289124402,0.828156735,0,-0.540935432,-0.569357544,-0.543040466,-0.277472988,-0.5271152,-0.255151126,-0.482777044,-0.548136889,-0.5692034,-0.415229196,-0.410323979,-0.240733696,-0.173714506,-0.328387169,-0.102355656,-0.047757489,0,-0.149853586,-0.376348723,-0.401378505,-0.40154045,-0.296647937,-0.386682975,-0.364997485,-0.344536261,-0.379292194,0.167702412,0.28376491,-0.352475232,0.886579012,-0.288841583,1.613472734,-0.077962896,0.895160568,0.081431473,0.098205726,0.860746271,0.826838992,-0.278433498,1.54500715,12.77383222,8.879695067,15.18581625,15.43884655,21.6231902,-0.420507405,-0.462383618,-0.401184674,-0.451367577,23.10750792,-0.642078011,2.721868365,15.12188604,-0.543016062,-0.469426209,-0.363279288,2.167366995,1.01501113,2.888355316,1.895992878,-0.010784608,-0.477949629,-0.557516795,0
